Artist,Title,Lyrics
Metro Boomin,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","[Chorus: Roisee, 
Young 
Thug
]
Not done fightin'
I don't feel I've lost
Am I dreamin'?
Is there more like us?
Got me feelin'
Like it's all too much
I feel beaten
But I can't give up
I'm still fightin' (
Metro
)
I don't feel I've lost
Am I dreamin'?
Is there more like us?
Got me feelin'
Like it's all too much
I feel beaten
But I can't give up
[Verse 1: A$AP Rocky]
Uh, wakin' up, feelin' like the thankful one
Count up my ones, lacin' up my favorite 1s
One-of-a-kind, one of one, the only one
Got one shot and one chance to take it once
Kiss my mama on the forehead, 'forе I get the code rеd
'Cause I was born, bred to go in, toast ready
Swing by 410, beef patty, cornbread
In the concrete jungle, where my home is
All get focused, all raise your toastes
The nickname: Mr. Keen-To-Do-the-Mostest
I was livin' down bad in my folks' crib
Now I'm laughin' to the bank and the joke is
Did more things than folks did, or folks get
We been gettin' this fly since some poor kids
My rich friends and my broke friends coexist
They love to mix, and we know what it is
[Chorus: Roisee]
Not done fightin'
I don't feel I've lost
Am I dreamin'?
Is there more like us?
Got me feelin'
Like it's all too much
I feel beaten
But I can't give up
I'm still fightin'
I don't feel I've lost
Am I dreamin'?
Is there more like us?
Got me feelin'
Like it's all too much
I feel beaten
But I can't give up
[Verse 2: Roisee]
I can't find it in myself
To just walk away
I can't find it in myself
To lose everything
Feel everyone's against me, don't
Want me to be great
Things might look bad, not afraid
To look death in the face
I'm good now (Now, now)
Who's really bad?
I choose me now (Now, now)
What's wrong with that?
Wish you could see me now, now
Mmm, who had my back?
Ain't belong, no love lost
Good always will win
[Chorus: Roisee]
Not done fightin' (Fightin')
I don't feel I've lost (Feel I've)
Am I dreamin'? (Dreamin')
Is there more like us?
 (More like)
Got me feelin' (Feelin')
Like it's all too much
I feel beaten (Beaten)
But I can't give up (Can't give)
I'm still fightin'
I don't feel I've lost
Am I dreamin'?
Is there more like us?
Got me feelin'
Like it's all too much
I feel beaten
But I can't give up (Can't give)
[Outro: Roisee]
Up
Can't give, can't give
Up
Can't give, can't give
Up
Can't give, can't give
Up
Can't give up"
Katy Perry,Harleys In Hawaii,"[Verse 1]
Boy, tell me, can you take my breath away?
Cruisin' down a heart-shaped highway
Got you swervin' lane-to-lane, don't hit the brakes
'Cause I'm feelin' so safe
[Pre-Chorus]
I'll be your baby, on a Sunday
Oh, why don't we get out of town?
Call me your baby, on the same wave
Oh, no, no, there's no slowin' down
[Chorus]
You and I, I
Ridin' Harleys in Hawaii-i-i
I'm on the back, I'm holdin' tight, I
Want you to take me for a ri-ide, ride
When I hula-hula, hula
So good, you'll take me to the jeweler-jeweler, jeweler
There's pink and purple in the sky-y-y
We're ridin' Harleys in Hawaii-i-i (Ha)
[Verse 2]
Let me run my fingers through your salty hair
Go ahead, explore the island
Vibes so real that you can feel it in the air
I'm revvin' up your engine
[Pre-Chorus]
I'll be your baby, on a Sunday
Oh, why don't we get out of town? (Why don't we get out of town?)
Call me your baby, catch the same wave
Oh, no, no, there's no slowin' down (Let's go)
[Chorus]
You and I, I
Ridin' Harleys in Hawaii-i-i
I'm on the back, I'm holdin' tight, I
Want you to take me for a ri-ide, ride
When I hula-hula, hula
So good, you'll take me to the jeweler-jeweler, jeweler (Jeweler)
There's pink and purple in the sky-y-y (No, no ,no)
We're ridin' Harleys in Hawaii-i-i
[Bridge]
(Ah-ooh)
No, no
(Ooh)
[Chorus]
You and I...
You and I, I
Ridin' Harleys in Hawaii-i-i
I'm on the back, I'm holdin' tight, I
Want you to take me for a ri-ide, ride (Oh)
When I hula-hula, hula
So good, you'll take me to the jeweler-jeweler, jeweler (Jeweler)
There's pink and purple in the sky-y-y
We're ridin' Harleys in Hawaii-i-i
[Outro]
I'll be your baby, on a Sunday (Ah-ooh)
Oh woah
We're ridin' Harleys in Hawaii-i
Call me your baby, catch the same wave (Ooh)
Oh woah
We're ridin' Harleys in Hawaii-i"
Beach House,Lemon Glow,"[Verse 1]
Read my fortune too
Tell me what you see
Cross it like a T
It's all the same to me
This game I play
I do it every day
Then promise I'll be fine
Bear it every time
[Refrain]
When you turn the lights down low
Lemon color, honey glow
[Verse 2]
See this state I'm in
Is crawling in my skin
Fevers took me back
And turned me inside out
[Refrain]
When you turn the lights down low
Lemon color, honey glow
[Chorus]
It's what you do
This pulls me through
To the other end
Where it begins
You see through me
Still, it's coming back
I come alive
You stay all night
[Bridge]
You feel it coming right through you
The color of your mind
The color of your mind
The color of your mind
You feel it coming right through you (You feel it coming right through you)
It's on the other side
It doesn't have to be this way (Doesn't have to be this way)
The color of your mind
[Chorus]
It's what you do
This pulls me through
I come alive
You stay all night
It's what you do
This pulls me through
I come alive
You stay all night
[Outro]
Candy-colored misery
The color of your mind"
Grimes,4ÆM,"[Intro]
O—
Aphrodite
I wrote your constellation
Into the sky
S-s-s-s-s-sa
Suns at night
[Chorus]
I'm out late at 4 AM
He says, ""How's the weather, baby? How've you been?""
You're gonna get sick, you don't know when
I never doubt it at 4 AM
I'm out late at 4 AM
He says, ""How's the weather, baby? How've you been?""
You're gonna get sick, you don't know when
I never doubt it at 4 AM
[Post-Chorus]
4 AM, 4 AM
Falling down again
Unraveling
[Bridge]
Aphrodite
I wrote your constellation
Into the sky, ooh
S-s-s-s-s-sa
Suns at night
[Chorus]
I'm out late at 4 AM
He says, ""How's the weather, baby? How've you been?""
You're gonna get sick, you don't know when
I never doubt it at 4 AM
I'm out late at 4 AM
He says, ""How's the weather, baby? How've you been?""
You're gonna get sick, you don't know when
I never doubt it at 4 AM
[Post-Chorus]
Na-na-na, na-na-na, na-na-na, na-na-na, ah
Na-na-na, na-na-na, na-na-na, na-na-na, ah
4 AM, 4 AM
Falling down again
[Chorus]
I'm out late at 4 AM (4 AM)
He says, ""How's the weather, baby? How've you been?"" (How you've been?)
You're gonna get sick, you don't know when
I never doubt it at 4 AM (Doubt it, 4 AM)
I'm out late at 4 AM (Doubt it)
He says, ""How's the weather, baby? How've you been?"" (How you've been?)
You're gonna get sick (Falling down again), you don't know when
I never doubt it at 4 AM (4 AM)
[Outro]
4 AM, 4 AM, 4 AM, 4 AM
4 AM, 4 AM, 4 AM, 4 AM
4 AM, 4 AM, falling down again
4 AM, 4 AM, falling down again
I'm out late at 4 AM
4 AM, 4 AM, out late at 4 AM
I'm out late at 4 AM
4 AM, 4 AM, 4 AM
I'm out late at 4 AM, oh, oh
Falling down again
Falling down again
Oh"
Hailee Steinfeld,Coast (feat. Anderson .Paak),"[Intro: Anderson .Paak]
Coast
[Verse 1: Hailee Steinfeld]
You're the wave upon my ocean
Poundin' rhythm and motion
It's a full moon kind of night, yeah
I don't wanna go home yet
You can question my devotion
Wear my heart on my shoulder
Just relax and let the riptide pull you close
[Chorus: Hailee Steinfeld & 
Anderson .Paak
]
(Ah)
Baby, all I wanna do is coast (
Coast
)
With you (
You
)
Energy, the body flows
(Ah, 
hey, hey
)
Baby, all I wanna do is coast (
Coast
)
With you (
You
)
Frequency of all we know (
Yeah
)
[Verse 2: Anderson .Paak]
Feelin' like I caught a wave with ya
I've been dealin' with a lot of changes
And all the people that I like to hang with
They all been sayin' that I ain't the same
Listen, I been chillin' with you for a couple days
If you ain't afraid, me and you should rage (Rage)
In the Sun rays (Rays), come on out the cage (Cage)
Don't wanna tame, live it your way (Ayy)
Body go for days (Days), got me in a daze (Daze)
Parties in L.A. (A) feel like holidays
Hit the PCH and we on our way
To a place I was born and raised
You live on the screen and the stage
I wanna fit in between your legs
Let's pick a day, everything could wait
Words can't relay, but it's givin' fate
[Chorus: Hailee Steinfeld & 
Anderson .Paak
]
(Ah)
Baby, all I wanna do is coast (
Coast
)
With you (
You
)
Energy, the body flows
(Ah, 
hey, hey
)
Baby, all I wanna do is coast (
Coast
)
With you (
You
)
Frequency of all we know (
Coast
)
[Post-Chorus: Hailee Steinfeld & 
Anderson .Paak
]
'Cause nothin' feels as real when we're connected (
Coast
)
Relax and let the riptide pull you close
(Ah)
Baby, all I wanna do is coast (
Coast
)
With you (
You
)
Frequency of all we know
[Bridge: Hailee Steinfeld & 
Anderson .Paak
]
The stars come down, you drown 'em out
I'm sinkin' deeper into you
I breathe you in, I breathe you out
I'm sinkin' deeper into (
Hey
)
[Chorus: Hailee Steinfeld & 
Anderson .Paak
]
(Ah)
Baby, all I wanna do is coast (
Coast
)
With you (
With you
)
Energy, the body flows (
We could cruise if the mood's right
)
(Ah, 
catch a wave in the moonlight
)
Baby, all I wanna do is coast (
Coast
)
With you (
With you
)
Frequency of all we know (
Coast
)
[Post-Chorus: Hailee Steinfeld & 
Anderson .Paak
]
'Cause nothin' feels as real when we're connected (
Coast
)
Relax and let the riptide pull you close
(Ah)
Baby, all I wanna do is coast (
Coast
)
With you (
With you
)
Frequency of all we know"
Don Toliver,"Givin’ Up (Not The One) (Don Toliver & 21 Savage, 2 Chainz)","[Intro: Oscar Isaac]
But I'm not like the others
I don't always like what I have to do 
(
Honorable C.N.O.T.E.
)
But I know I have to be the one to do it
I've given up too much to stop now
[Chorus: Don Toliver]
I can't be the one here givin' up
I'm not the one here givin' up (No)
Time heals all, but I can't feel what it was
If you were me, you wouldn't give up
I'm not the one here givin' up (I'm not the one here givin' up)
I'm not the one here givin' up (I'm not the one herе givin' up)
I'm not the one herе givin' up (I'm not the one here givin' up)
I'm not the one here givin' up (I'm not the one here givin' up)
[Verse 1: 21 Savage]
Woah, woah
Every obstacle I overcame
Pushed through it, I ain't pointin' blame
Kept my focus
Every time they tried to hold me back I broke up out they chains
Reached the top and still remained the same
Hit the bottom, get up, no complain
Walk on the stage and they yell my name
They doubt me, but I always do my thing
'Cause they count on me (21)
I got a family to feed (21)
Duckin' the envy and greed (On God)
Street smart, but I still read (On God)
Give birth to heroes, I breed (21)
I smell a win and get tea (21)
Let down the top, feel the breeze (Straight up)
How you gon' give up on me? (On God)
How you just give up on we? (21)
I'd never quit, though
Got a house now, I started with a brick, though
 (Facts)
Say you hungry, all you wanna do is sit, though (Facts)
I'm a leader, I'll show you how to fish, though (21)
If you want it, there's some things you gon' miss, though (21)
I got goals everybody ain't built for (21)
I ain't stoppin' 'til I get what I'm here for (On God)
[Chorus: Don Toliver]
I can't be the one here givin' up
I'm not the one here givin' up (No)
Time heals all, but I can't feel what it was
If you were me, you wouldn't give up
I'm not the one here givin' up (I'm not the one here givin' up)
I'm not the one here givin' up (I'm not the one here givin' up)
I'm not the one here givin' up (I'm not the one here givin' up)
I'm not the one here givin' up (I'm not the one here givin' up)
[Verse 2: 2 Chainz]
Yeah, 2 Chainz
Love me or love me not, link at the gamma spot
Up front, we work, that was a hand-me-down
I wasn't stunned, I'll make 'em stand around
I got a stick with a bandana 'round (Ah)
Never gave up on me, I own your favorite OG
Make your baby OD when she on me
Told him, ""In my time,"" just so you know I ain't lyin'
I bought my whole clique, some new Rollies
Alone, never lonely
Rock with the real, never phony
Do 24 like I'm Kobe
My superhero, was goated
It was the street that had molded me
I got a caught in a web (Web)
I got new thoughts on the head
'Member the floor was the bed
You know I heard what you said
Now when I'm droppin' the top
Don't let that go over your head
[Chorus: Don Toliver & 
2 Chainz
]
I can't be the one here givin' up 
(
Yeah, Toni
)
I'm not the one here givin' up (No)
Time heals all, but I can't feel what it was
If you were me, you wouldn't give up (
Mmm
)
I'm not the one here givin' up (I'm not the one here givin' up)
I'm not the one here givin' up (I'm not the one here givin' up)
I'm not the one here givin' up (
True
, I'm not the one here givin' up)
I'm not the one here givin' up (I'm not the one here givin' up, 
tell 'em
)
[Outro: Don Toliver & 
Oscar Issac
]
Fair enough
Is part of your life (Is part of your life)
I see you runnin' out of time
Is part of your life (Is part of your life)
Being Spider-Man is a sacrifice
That's the job, that's what you signed up for"
ruinedbymateo,Sovereign,Lyrics Not Found
Farinas,You Get Me So High,"[Intro]
You get me so high
I forget who I am
And as time goes by
I need you
I need you to stay
You get me so high
I forget who I am
And as time goes by
I need you
I need you to stay
Oh - oh -oh
[Verse 1]
I wish we could live forever
Cuz' I think I missed my last chance
I ain't been sleeping no better
So ima drink till I can't stand
[Chorus]
You told me no need to get up, the weather was fine
But [?] umbrella
So im feelin-
Shine, found what I lost
There was my mind
Go through the fog and I see the light
Shouts to my guys, shouts to my fam
And my [?]
Smile lookin' white, smile lookin' fine
Was caught in a spiral, now I realign
Floatin' on a spiral
And I'll win this fight
Baby, I dont know
[Outro]
Im doin' fine
Im doin' fine
Im doin' fine
Im doin'
Im doin'
You get me so high
I forget who I am
And as time goes by
I need you
I need you to stay
You get me so high
I forget who I am
And as time goes by
I need you
I need you to stay
You get me so high
I forget who I am
And as time goes by
I need you
I need you to stay
Oh - oh- oh"
SEB,loving u is harder,"[Verse 1]
Every single day I'm catching feelings
For a different you
I'ma stain my sweater
'Cause I've never been invincible
I'ma tell the truth
But baby you can't catch an attitude
We've been living larger than the stars
But we're miserable
[Pre-Chorus]
How you getting mad
When you the only one who got caught?
How am I taking all the blame
When it wasn't my fault?
I'm the one who's dropping
Them tears on the asphalt
I'm the one who drove all the way here
Now you can't talk
[Chorus]
Loving you is harder than I thought
You got a reputation breaking hearts
Guess I should've saw this from the start
A pretty face, you such a work of art
[Verse 2]
I been here for a minute
I know you independent
You on your own time
You tried to squeeze me in it
And if you really cared
Maybe you'd be really there
You said I made you do it
That ain't really fair
[Pre-Chorus]
How you getting mad
When you the only one who got caught?
How am I taking all the blame
When it wasn't my fault?
I'm the who's dropping
Them tears on the asphalt
I'm the one who drove all the way here
Now you can't talk
[Chorus]
Loving you is harder than I thought
You got a reputation breaking hearts
Guess I should've saw this from the start
A pretty face, you such a work of art
[Bridge]
You tryna fall in love with somebody new, new, new
Tryna to forget about me this afternoon, noon, noon
I hope that your petty wishes come true, true, true
Even when it doesn't I'ma come through, through, through, through
[Instrumental Break]
[Chorus]
Loving you is harder than I thought
You got a reputation breaking hearts
Guess I should've saw this from the start
A pretty face, you such a work of art
Loving you is harder than I thought
You got a reputation breaking hearts
Guess I should've saw this from the start
A pretty face, you such a work of art"
NEZZA,Poison,"[Verse 1]
Tell me baby
Is this what you want
Feel you starin', your heartbeat speedin' up
If you come closer might just risk it all
Tell me baby, yeah
[Pre-Chorus]
You try and play it cool (Yeah, yeah)
But I got the moves
Keep you comin'
Beggin' me for more (Yeah, yeah)
I guess you might be my next victim
[Chorus]
I got you right where
Right where I want
I’m in your nightmares
Still feel me breathin'
When I’m not there
You don’t deserve it
But I’ll give it, I’ll give it to you
I got you right where
Right where I want
I’m in your nightmares
Still feel me brеathin'
When I’m not there
You don’t dеserve it
But I’ll give it, I’ll give it to you
[Verse 2]
Boy, I know that
What you want I got it
One drop is enough
My love is poison
Lick it up, lick it up
That’s the antidote
Give it up, give it up
Cause one drop is enough
My love is poison
[Pre-Chorus]
You try and play it cool (Yeah, yeah)
But I got the moves
Keep you comin'
Beggin' me for more (Yeah, yeah)
I guess you might be my next victim
[Chorus]
I got you right where
Right where I want
I’m in your nightmares
Still feel me breathin'
When I’m not there
You don’t deserve it
But I’ll give it, I’ll give it to you
I got you right where
Right where I want
I’m in your nightmares
Still feel me breathin'
When I’m not there
You don’t deserve it
But I’ll give it, I’ll give it to you
[Bridge]
Give you that poison
Running all through your body
Killing you slowly
And I’m just getting started
I got what you need, right now
Bow down to a queen, right now
Yeah I got what you need, right now
Bow down to a queen, right now
I'm your favorite angel
With my devil tendencies
On your lips you get to keep a little taste of me
[Chorus]
I got you right where
Right where I want
I’m in your nightmares
Still feel me breathin'
When I’m not there
You don’t deserve it
But I’ll give it, I’ll give it to you
[Outro]
Give you that poison
Running all through your body
Killing you slowly
And I’m just getting started, yeah"
Joji,Run,"[Verse 1]
I fell for your magic, I tasted your skin
And though this is tragic, at least I found the end
I witnessed your madness, you shed light on my sins
And if we share in this sadness, then where have you been?
[Chorus]
I know you're not in love like you used to be
Guess I’m not the one, like you used to think
So you'll just run
I know that I'm stuck in this misery
Guess I’m not enough, like you used to think
So I'll just run (Ooh)
[Verse 2]
You bathe in your victory
You blew out on my fuse
And if I took on the planet
Will I pay my dues?
Your love was a mystery
Yeah, my love is a fool
And I traveled the country just to get to you
[Chorus]
I know you're not in love like you used to be
Guess I'm not the one, like you used to think
So you'll just run
I know that I'm stuck in this misery
Guess I'm not enough, like you used to think
So I'll just run
[Outro]
And I traveled the country
And I traveled the country just to get to you
I know you’re not in love
I know you’re not in love
I know you're not in love"
Metro Boomin,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"[Intro: Travis Scott & 
21 Savage
]
We done did so much around the law (
21
)
I done seen so much I shouldn't've saw (
Straight up
)
Tatted teardrops, call Niagara Falls (
Straight up
)
It been up and down but never fall (
On God
)
I been at the lab behind the wall (
21
)
I been at the lab behind the—
[Chorus: Travis Scott & 
21 Savage
]
Ratchet bitches wanted Frenchy's, not Philippe
That's the type to put me in my mood (
In my mood
)
She know that I'm mobbin', she come cool for me
She know how to put me in my groove (
On G
od
)
I know it's a lot that you can learn from me
It's just one thing that you gotta prove (
Straight
 up
)
If you gotta walk, would you still ride for me?
I might need a extra foot or two
 (
Straight up
)
Gotta keep my distance, they surroundin' me
I might need a extra foot or two (
Foot or two
)
They might havе to go and build a house for me
I might need a extra foot or— (
21
)
[Verse 1: 21 Savage & 
Travis Scott
]
Crib samе size as the Galleria (Galleria, 
phew
)
Spanish model with me, call her ""Señorita""
 (Señorita, 
phew
)
I done fell in love with a hood girl
She be puttin' syrup in her margaritas (Margarita, 
phew
)
Bought my college vibe a brand new Birkin (On God, 
phew
)
On the weekend, she be twerkin' (Straight up, 
phew
)
Take a shower in the Maybach, it got curtains (21)
Leave your phone in your purse, you makin' me nervous (Lil' bitch, 
phew
)
Saint Laurent Don fresher than detergent (I be clean, 
phew
)
Got a crush on this waitress, hope she serve me (Nah mean? 
Phew
)
Porsche headlights on, Kermit the Frog (21, 21, 
phew
)
Michael Vick, number seven, I'm a dawg (Big dawg, 
phew
)
[Chorus: Travis Scott]
Ratchet bitches wanted 
Frenchy's
, not 
Philippe
 (Ah)
That's the type to put me in my mood (Yeah)
She know that I'm mobbin', she come cool for me (Ah, ah)
She know how to put me in my groove (Yeah)
I know it's a lot that you can learn from me (Ooh)
It's just one thing that you gotta prove (Ah, ah)
If you gotta walk, would you still ride for me? (Ah, ah)
I might need a extra foot or two (Ah, ah, oh)
Gotta keep my distance, they surroundin' me (Ooh)
I might need a extra foot or two (Ooh)
They might have to go and build a house for me (Ooh)
I might need a extra foot or— (Ooh)
[Verse 2: Travis Scott]
We done did so much around the law
Stay up to forget 'bout what I saw
Powers keep increasin' by the bar
Shit don't make you sleepy after all
Shoppin' in my closet, not the mall
Openin' my mouth, a disco ball
I extend the marble on the wall
I been into designin' it all, all, all
Water down her eyes, 
Niagara Falls
Got too many numbers; who to call?
Made too many ways for you to cross
Now we lookin' down and then we 
ball, ball, ball
[Chorus: Travis Scott]
Ratchet bitches wanted Frenchy's, not Philippe (Ah)
That's the type to put me in my mood (Yeah)
She know that I'm mobbin', she come cool for me (Ah, ah)
She know how to put me in my groove (Yeah)
I know it's a lot that you can learn from me (Ooh)
It's just one thing that you gotta prove (Ah, ah)
If you gotta walk, would you still ride for me? (Ah, ah)
I might need a extra foot or two (Ah, ah, oh)
Gotta keep my distance, they surroundin' me (Ooh)
I might need a extra foot or two (Ooh)
They might have to go and build a house for me (Ooh)
I might need a extra foot or— (Ooh)
[Outro: Morgan Freeman]
Villains don't perceive themselves as wrong
And all heroes do not wear capes
Villains are made, not born
Most times, the villain and the hero's beginnings, unlike their endings, take nearly identical shape and form"
Tory Lanez,Sorry 4 What? // LV BELT,"[Part I: ""Sorry 4 What?""]
[Intro]
I'm not tryna be here for a long time
Just, just a good, good time
I got a lot of shit weighin' on my mind
Weighin' on my mind
[Verse]
So fuckin' serious, you niggas' delirious
Said it wit' exclamation, but niggas can't fuck wit' me, period
Bitch, right off the back, I need y'all to flex
All of this stuntin' look good for my ex
All of these zeros look good on my checks
I got like two or three phones for business and bitches and still can't even answer a text
Yeah, we in the spot, we won't give it a rest
They be sayin' that that liquor gon' catch up to you
Nigga, it ain't caught up to me yet
I hit the road, I look like the mayor
Countin' up fifties and twentiеs and tens
I'm out of state, they givе me a ten
Ballin' again, again, again, again, again
Ballin' again, again, again, again, again
That was the plan again, bitch, I'm the man again
Walk out of Louis, it look like a mannequin
All the store management wanna know how much I spend, I spend, yeah
I don't fuck wit' her, she fiesty
All of the niggas that's wit' me are shiesty
This is the reason these niggas don't like me, yeah
I gotta win, I gotta hit from the back when it's pricy
I gotta fly out the trappers to sight-see
She wanna fuck wit' a R&B singer
I hit her, I ducked her, I sent her to Nyce B
I'm on a roll like the motherfuckin' dice be
I'm catchin' pussy like I'm Jerry Rice
I'm catchin' pussy like it was a flight
I'm in your city, what's up for the night?
[Part II: ""LV BELT""]
[Verse]
I, I've had way too much to drink, you know, I
1942, it ain't on me, sing to five
Ex callin' up my phone, fuckin' up the vibe
Tonight's not the night, tonight's not the—
Yeah (Yeah), fuck that bitch, yeah (Uh)
Hop on the couch, yeah (Yeah), take me a flick, yeah (Uh)
Louis V belt, yeah (Yeah), Louis V belt, yeah (Uh)
Fuck that bitch, yeah (Yeah)
Hop on the couch, yeah (Yeah), take me a flick (Woah), yeah (Yeah)
Louis V belt, yeah (Oh, oh, oh), Louis V belt (Louis V), yeah
Louis V belt, yeah (Louis V), Louis V belt (Louis V), yeah (Louis V)"
Swedish House Mafia,Heaven Takes You Home (feat. Connie Constance) - Alternative Mix,"[Chorus]
When Heaven takes you home
And you're at the gates alone
If the grass isn't greener
Come back and check I'm still breathin'
When Heaven takes you home
And you're untouchable
Tell 'em how you back flip through tragic
Show 'em how to struggle, make magic
[Verse 1]
There's nothin' wrong with you
You're perfect, you're cool
You took the best parts of you
Show me what love can do
[Chorus]
When Heaven takes you home
And you're untouchablе
Tell 'em how you back flip through tragic
Show 'em how to strugglе, make magic
[Drop]
Make me small
So I can fit in your pockets when you go
[Verse 2]
There's nothin' wrong with you
You're perfect, you're cool
You took the best parts of you
Show me what love can do
[Chorus]
When Heaven takes you home
And you're at the gates alone
If the grass isn't greener
Come back and check I'm still breathin'
When Heaven takes you home
And you're untouchable
Tell 'em how you back flip through tragic
Show 'em how to struggle, make magic
[Outro]
You showed me, you showed me what love can do
You showed me, you showed me what love can do
You showed me, you showed me what love can do
You showed me, you showed me what love can do
(Make magic, make magic, make magic, make magic)"
PALASTIC,Caught in a Dream,"[Songtext zu „Caught In A Dream“]
[Verse 1]
You freed my heart and
Embrace my soul
No one's ever done so
Without your presence, without your hope
The right places feel so wrong
They want me high, but I feel so low
And only you can change that
They miss my smile but I can't let go
I need you in my life, babe
[Chorus]
I feel cold and our hate caught in a dream when I'm without you
Stretched out on the ground
Leave me here 'cause I've found my lust without you
[Verse 2]
You freed my heart and
Embrace my soul
No one's ever done so
Without your presence, without your hopе
The right places feel so wrong
They want mе high, but I feel so low
And only you can change that
They miss my smile but I can't let go
I need you in my life, babe
[Chorus]
I feel cold and our hate caught in a dream when I'm without you
Stretched out on the ground
Leave me here 'cause I've found my lust without you"
The Weeknd,A Lesser Man,"[Verse 1]
What you don't even know
I'm a deadbeat man, never know when to fold
Spent a lot for your soul
You gon' make that back, I'ma take what I own
Far away from my home
In this hot-ass town, but my blood's still cold and
Better let them know
[Pre-Chorus]
When you see them that you make sure they pay you
Pay you in cash
I don't do favors
I don't do that
You don't want to see me
See me get mad
No matter how bad you
You think I am, am
[Chorus]
I'm a lesser man, a lesser man
A lesser man than you think I am
You think you know but you have no idea
I'm a lesser man, you're the best of them
Fuck the rest of them
I'm a lessеr man, ah
Ah, than you know
[Verse 2]
Show the world what I know
How you work that tongue to collect thеir souls and
Seen you do it before
Make them fall in love, make them beg for more and
You can put on a show
You're my one top star, you're my bottom girl and
Before you kiss 'em and go
[Pre-Chorus]
Don't leave until you make sure they pay you
Pay you in cash
I don't do favors
I don't do that
You don't want to see me
See me get mad
No matter how bad you
You think I am, am
[Chorus]
I'm a lesser man, a lesser man
A lesser man than you think I am
You think you know but you have no idea
I'm a lesser man, you're the best of them
Fuck the rest of them
I'm a lesser man, ah
Ah, than you know
[Post-Chorus]
A lesser man than you think I am
A lesser man than you think I am, I am, am
I think you should know, darlin'
Ah
[Instrumental Outro]"
The Weeknd,Take Me Back,"[Verse 1]
I've been manipulated a hundred times, but
None of them felt so soft and kind, and
Hell is a place for what we tried, but
Never felt so wrong in my mind, and
Never understood why 
Mama cried
, and
Could it be because our secret's hiding?
I always thought someday you'd find us, but
Waiting for you is like slowly dying
[Pre-Chorus]
'Cause you kept me warm
You held me close until you let me go
Now my blood is cold
I never had the time to let you know
[Chorus]
Take me back, take me back
Takе me back
Take me back, takе me back
Take me back
[Post-Chorus]
All of me, take all of me
All of me, all of me
Take me back, take me back
Take me back
[Verse 2]
Where do we go from here?
Hold my heart and set me free
Where do we go from here?
Kiss me with each melody
Someone I used to fear
'Cause I loved your forbidden touch
The thought of you cut so deep
So I'll open up my scars
[Pre-Chorus]
'Cause it keeps me warm
Just hold me close, I'll never let you go
'Cause now my blood is cold
I'm waiting for the day you call my phone
[Chorus]
Take me back, take me back
Take me back
Take me back, take me back
Take me back
[Post-Chorus]
All of me, take all of me
All of me, all of me
Take me back, take me back
Take me back"
Disclosure,You & Me - Flume Remix,Lyrics Not Found
Big Wild,When I Get There,Lyrics Not Found
Santigold,Disparate Youth,"Don’t look ahead there’s stormy weather
Another road block in our way
But if we go, we go together
Our hands are tied here if we stay
Oh, we said our dreams will carry us
And if they don’t fly we will run
Now we push right past to find out
How to win what they all lost
Oh-ah, Oh-ah
We know now we want more
Oh-ah, Oh-ah
A life worth fighting for
Oh-ah, Oh-ah
We know that we want more
Oh-ah, Oh-ah
A life worth fighting for
So let them say we can’t do better
Lay out the rules that we can’t break
They want to sit and watch it wither
Their legacy’s too hard to take
Oh, we said our dreams will carry us
And if they don’t fly we will run
Now we push right past to find out
How to win what they all lost
Oh-ah, Oh-ah
We know now we want more
Oh-ah, Oh-ah
A life worth fighting for
Oh-ah, Oh-ah
We know that we want more
Oh-ah, Oh-ah
A life worth fighting for
In their heads, hedging their bets
, in their
Eyes it shows
When the beacon breaks, what then
You ask they don’t know
Oh tell me that 
I turn my back, well the
Odds all stand beneath me
And they all said I was misled, but now
The odds all stand beneath me
Oh-ah, Oh-ah
They’re frozen to the core
Oh-ah, Oh-ah
A life worth fighting for
Oh, we said our dreams will carry us
And if they don’t fly we will run
Now we push right past to find out
How to win what they all lost
Oh-ah, Oh-ah
We know now we want more
Oh-ah, Oh-ah
A life worth fighting for
Oh-ah, Oh-ah
We know that we want more
Oh-ah, Oh-ah
A life worth fighting for
We hear that rumble
Don’t hear what you say
Now here we come
Can’t throw nothing in our way
Ay-yo"
